,Run,Chip,Channel,MPV,MPV_err_low,MPV_err_high,GoF,N_entries
52,muon_150_magnetOff,2,0,124.75,1.39,1.46,6.37,1560
53,muon_150_magnetOff,2,1,131.73,1.1,1.22,1.18,2583
54,muon_150_magnetOff,2,2,122.53,1.43,1.65,10.12,1300
55,muon_150_magnetOff,2,3,136.64,1.35,1.22,6.18,2047
56,muon_150_magnetOff,2,4,141.04,2.41,2.4,1.16,815
57,muon_150_magnetOff,2,23,137.24,1.56,1.44,0.67,1786
58,muon_150_magnetOff,2,24,146.87,1.56,1.53,2.48,2108
59,muon_150_magnetOff,2,28,146.61,1.15,1.32,3.47,3404
60,muon_150_magnetOff,2,29,152.14,1.32,1.1,0.4,4005
61,muon_150_magnetOff,2,30,125.93,1.02,1.09,1.3,2804
62,muon_150_magnetOff,2,31,131.59,1.19,0.99,5.4,3104
63,muon_150_magnetOff,2,36,142.29,1.0,0.95,2.98,4316
64,muon_150_magnetOff,2,37,139.88,0.78,0.81,11.25,5433
65,muon_150_magnetOff,3,9,57.47,3.16,3.57,1.85,139
66,muon_150_magnetOff,3,11,50.62,1.59,1.92,2.61,196
67,muon_150_magnetOff,3,29,53.27,0.76,0.71,5.29,2297
68,muon_150_magnetOff,3,35,55.7,0.29,0.37,21.68,2607
69,muon_150_magnetOff,3,38,54.56,0.56,0.48,36.22,3115
70,muon_150_magnetOff,3,39,58.5,0.66,0.61,7.39,2766
71,muon_150_magnetOff,3,49,58.79,0.64,0.65,9.44,2804
72,muon_150_magnetOff,3,60,57.54,3.68,3.08,11.53,159
73,muon_150_magnetOff,3,66,55.92,1.01,0.94,1.79,1357
74,muon_150_magnetOff,3,67,57.29,2.88,2.87,5.9,191
75,muon_150_magnetOff,4,0,56.08,2.64,2.66,4.14,359
76,muon_150_magnetOff,4,1,58.13,3.07,3.47,20.28,230
77,muon_150_magnetOff,4,6,65.25,3.2,3.71,12.69,320
78,muon_150_magnetOff,4,7,63.59,2.44,2.49,20.21,278
24,muon_250_magnetOff,2,0,126.05,2.4,2.39,9.06,825
25,muon_250_magnetOff,2,1,133.5,1.66,1.74,5.58,1688
26,muon_250_magnetOff,2,2,123.71,1.97,1.96,1.68,762
27,muon_250_magnetOff,2,3,139.54,1.61,1.75,1.35,1567
28,muon_250_magnetOff,2,4,145.46,3.12,3.34,2.96,564
29,muon_250_magnetOff,2,5,134.25,2.0,2.12,0.66,1139
30,muon_250_magnetOff,2,23,137.0,1.71,1.39,3.33,1576
31,muon_250_magnetOff,2,24,143.15,1.64,1.82,3.41,1898
32,muon_250_magnetOff,2,28,148.16,1.35,1.15,6.33,2386
33,muon_250_magnetOff,2,29,147.27,1.44,1.39,1.74,2626
